detection_id,species,source_image,pixel_x,pixel_y,longitude,latitude,within_boundary_buffer,georeference_method,georeference_rmse_deg,control_point_count,notes
rhino_digitized_070,rhino,rhino_pages-14.png,127.0,272.0,14.40978,-19.15966,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_071,rhino,rhino_pages-14.png,144.3,272.7,14.44282,-19.153487,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_072,rhino,rhino_pages-14.png,868.77,272.54,16.679696,-19.057871,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_073,rhino,rhino_pages-14.png,206.22,274.19,14.570673,-19.1296,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_074,rhino,rhino_pages-14.png,446.5,273.0,15.187281,-19.047775,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_075,rhino,rhino_pages-14.png,234.3,275.3,14.63168,-19.121679,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_076,rhino,rhino_pages-14.png,216.0,276.0,14.588945,-19.132294,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_077,rhino,rhino_pages-14.png,259.23,276.92,14.686768,-19.117638,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_078,rhino,rhino_pages-14.png,460.7,276.3,15.224325,-19.056459,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_079,rhino,rhino_pages-14.png,117.21,277.36,14.379468,-19.186647,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_080,rhino,rhino_pages-14.png,201.7,278.3,14.552847,-19.14768,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_081,rhino,rhino_pages-14.png,252.5,278.71,14.667663,-19.127141,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_082,rhino,rhino_pages-14.png,843.5,280.0,16.571107,-19.072285,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_083,rhino,rhino_pages-14.png,208.5,281.0,14.562757,-19.154985,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_084,rhino,rhino_pages-14.png,216.0,281.0,14.579532,-19.151568,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_085,rhino,rhino_pages-14.png,468.5,281.5,15.240393,-19.072685,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_086,rhino,rhino_pages-14.png,730.17,281.94,16.124218,-19.060936,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_087,rhino,rhino_pages-14.png,917.0,281.0,16.879681,-19.093089,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_088,rhino,rhino_pages-14.png,813.23,282.92,16.44655,-19.074461,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_089,rhino,rhino_pages-14.png,377.0,283.36,14.975971,-19.10081,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_090,rhino,rhino_pages-14.png,914.0,283.0,16.865846,-19.097364,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_091,rhino,rhino_pages-14.png,120.5,286.0,14.367988,-19.219462,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_092,rhino,rhino_pages-14.png,733.13,287.13,16.131171,-19.076101,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_093,rhino,rhino_pages-14.png,807.0,288.0,16.418239,-19.087273,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_094,rhino,rhino_pages-14.png,244.3,289.3,14.629286,-19.170369,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_095,rhino,rhino_pages-14.png,718.0,289.36,16.072356,-19.081409,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_096,rhino,rhino_pages-14.png,230.0,290.36,14.594063,-19.180712,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_097,rhino,rhino_pages-14.png,457.5,292.0,15.193225,-19.11005,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_098,rhino,rhino_pages-14.png,653.0,295.0,15.829725,-19.096383,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_099,rhino,rhino_pages-14.png,718.0,295.0,16.067671,-19.097438,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_100,rhino,rhino_pages-14.png,742.0,295.59,16.158221,-19.100584,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
