scenario_id,alpha,coverage_target,achieved_protection,response_objective,budget_used,tourism_penalty_used,selected_site_count,selected_people,selected_cars,selected_drones,selected_cameras,locked_down_waterholes,selected_interventions,mean_response_time_min,p90_response_time_min,covered_cell_share,mean_fire_delay_penalty,selected_high_risk_sites,status,parameter_name,parameter_label,parameter_category,multiplier,coverage_max,recommended_alpha
etosha_placeholder_baseline,0.95,141.60734991433583,141.76533621172197,12758.365003731142,5950.0,0.0,53,51,0,2,0,0,0,58.838673316374276,142.8948402199311,0.2622133599202393,29.335790741923667,15,ok,budget_total,budget total,resources,0.5,149.06036833087984,0.95
etosha_placeholder_baseline,0.95,155.99138175118497,156.163855920625,10213.82720010242,20750.0,800.0,103,100,0,3,20,4,2,49.20292227487286,127.55149427076213,0.292123629112662,21.647043014291377,58,ok,budget_total,budget total,resources,2.0,164.20145447493155,0.95
etosha_placeholder_baseline,0.95,149.51544544576132,149.5364136457229,9762.27860269171,9900.0,0.0,55,50,0,3,20,4,0,52.342846338242694,129.83371413269916,0.26819541375872386,23.3720907337685,24,ok,max_people,people cap,resources,0.5,157.38467941659087,0.95
etosha_placeholder_baseline,0.95,150.14611665613836,150.16845857316673,8961.034651692049,12000.0,0.0,91,91,0,3,0,0,0,53.36290622631551,137.41895439297573,0.28713858424725824,26.257190656576988,47,ok,max_people,people cap,resources,2.0,158.0485438485667,0.95
etosha_placeholder_baseline,0.95,147.91410143351018,148.13311435441685,11049.322129629309,11950.0,0.0,88,88,0,2,15,3,0,56.976589837050305,139.3554895808067,0.28015952143569295,28.664456274343184,42,ok,max_drones,drone cap,resources,0.5,155.69905414053704,0.95
etosha_placeholder_baseline,0.95,157.55485858446315,157.564275079963,4940.793947763163,12000.0,0.0,72,66,0,6,0,0,0,39.924867602143394,98.24605043314901,0.30608175473579263,13.95833051642223,33,ok,max_drones,drone cap,resources,2.0,165.84721956259278,0.95
etosha_placeholder_baseline,0.95,150.14611665613836,150.16845857316673,9278.929335565022,12000.0,0.0,90,87,0,3,0,0,0,53.89020950031219,138.58402996704044,0.28713858424725824,26.897982689839683,47,ok,max_cameras,camera cap,resources,0.5,158.0485438485667,0.95
etosha_placeholder_baseline,0.95,150.14611665613836,150.16845857316673,9326.350013233627,12000.0,0.0,90,87,0,3,0,0,0,53.932168072833235,138.58402996704044,0.28713858424725824,26.9124802211019,47,ok,max_cameras,camera cap,resources,2.0,158.0485438485667,0.95
etosha_placeholder_baseline,0.95,150.14611665613836,150.16845857316673,11806.210138253755,12000.0,0.0,90,87,0,3,0,0,0,53.56514151434547,137.7401864402447,0.28713858424725824,33.95654699923145,47,ok,tau_fire_min,fire threshold tau,fire,0.5,158.0485438485667,0.95
etosha_placeholder_baseline,0.95,150.14611665613836,150.16845857316673,6200.745242839953,12000.0,0.0,90,87,0,3,0,0,0,53.801857793563926,137.41895439297573,0.28713858424725824,12.84230339175861,47,ok,tau_fire_min,fire threshold tau,fire,2.0,158.0485438485667,0.95
etosha_placeholder_baseline,0.95,150.14611665613836,150.17817691399947,5183.2715960172845,12000.0,0.0,90,87,0,3,0,0,0,49.5897749220111,128.12138101791106,0.28614157527417744,1.394345851376868,47,ok,beta_fire,fire penalty slope beta,fire,0.5,158.0485438485667,0.95
etosha_placeholder_baseline,0.95,150.14611665613836,150.16845857316673,911494.7665843625,12000.0,0.0,90,87,0,3,0,0,0,53.35320375567758,137.41895439297573,0.28713858424725824,5839.654626720972,47,ok,beta_fire,fire penalty slope beta,fire,2.0,158.0485438485667,0.95
etosha_placeholder_baseline,0.95,150.14611665613836,150.16938032833795,7034.763318804619,12000.0,0.0,90,88,0,3,0,0,0,49.56496063748329,128.12138101791106,0.28913260219341974,22.134452929315273,47,ok,lambda_fire,fire penalty weight lambda,fire,0.5,158.0485438485667,0.95
etosha_placeholder_baseline,0.95,150.14611665613836,150.15491414760672,13037.257470859004,12000.0,0.0,90,88,0,3,0,0,0,53.35320375567758,137.41895439297573,0.28614157527417744,26.256682367291507,47,ok,lambda_fire,fire penalty weight lambda,fire,2.0,158.0485438485667,0.95
etosha_placeholder_baseline,0.95,76.35930559545864,76.45390989625496,8962.907734408993,11925.0,0.0,89,89,0,3,0,0,0,53.378666189637585,137.41895439297573,0.2851445663010967,26.257190656576988,47,ok,protection_leverage_scale,protection leverage scale,protection,0.5,80.37821641627225,0.95
etosha_placeholder_baseline,0.95,297.4262852791372,297.45691714633347,8960.89016455898,12000.0,0.0,90,87,0,3,0,0,0,53.35320375567758,137.41895439297573,0.28713858424725824,26.256682367291507,47,ok,protection_leverage_scale,protection leverage scale,protection,2.0,313.0803002938286,0.95
etosha_placeholder_baseline,0.95,150.14611665613836,150.15629694711228,8960.89016455898,12000.0,0.0,90,87,0,3,0,0,0,53.35320375567758,137.41895439297573,0.28614157527417744,26.256682367291507,47,ok,camera_gain_factor,camera gain factor,protection,0.5,158.0485438485667,0.95
etosha_placeholder_baseline,0.95,149.86861119091728,149.9693149867447,9214.022888113504,12000.0,0.0,89,87,0,3,0,0,0,49.687200663904534,128.12138101791106,0.28215353938185445,22.22786964268984,48,ok,camera_gain_factor,camera gain factor,protection,2.0,157.7564328325445,0.95
etosha_placeholder_baseline,0.95,149.05538799081063,149.07012490264256,9168.867874449572,12000.0,0.0,89,86,0,3,0,0,0,49.57116975100633,128.12138101791106,0.2851445663010967,22.14578515531501,48,ok,waterhole_dispersion_benefit,waterhole dispersion benefit,interventions,0.5,156.90040841137963,0.95
etosha_placeholder_baseline,0.95,152.1481516099279,152.17250818029083,9552.065295147695,12000.0,0.0,80,78,0,3,20,4,0,49.4979658931054,127.55149427076213,0.292123629112662,21.647043014291377,34,ok,waterhole_dispersion_benefit,waterhole dispersion benefit,interventions,2.0,160.155949063082,0.95
etosha_placeholder_baseline,0.95,150.14611665613836,150.16845857316673,10400.77850750463,12000.0,0.0,90,87,0,3,0,0,0,59.62648197291727,137.41895439297573,0.28713858424725824,28.402955642089267,47,ok,drone_response_speed_kmh,drone response speed,mobility,0.5,158.0485438485667,0.95
etosha_placeholder_baseline,0.95,150.14611665613836,150.1522302241609,8522.86149801725,12000.0,0.0,90,87,0,3,0,0,0,50.14266402609697,137.41895439297573,0.28614157527417744,26.255222647147402,47,ok,drone_response_speed_kmh,drone response speed,mobility,2.0,158.0485438485667,0.95
