scenario_id,alpha,coverage_target,achieved_protection,response_objective,budget_used,tourism_penalty_used,selected_site_count,selected_people,selected_cars,selected_drones,selected_cameras,locked_down_waterholes,selected_interventions
etosha_placeholder_baseline,1.0,180.04395508274234,180.04395508274234,3887.2807201258956,42695.0,1200.0,57,0,55,19,0,0,3
etosha_placeholder_baseline,0.95,171.04175732860523,171.06222740480118,1987.2897129752116,42700.0,0.0,98,0,92,20,0,0,0
etosha_placeholder_baseline,0.9,162.03955957446811,162.04863439801292,1987.2897129752116,42700.0,0.0,98,0,79,20,0,0,0
