scenario_id,alpha,coverage_target,achieved_protection,response_objective,budget_used,tourism_penalty_used,selected_site_count,selected_people,selected_cars,selected_drones,selected_cameras,locked_down_waterholes,selected_interventions,mean_response_time_min,p90_response_time_min,covered_cell_share,mean_fire_delay_penalty,selected_high_risk_sites,status,parameter_name,parameter_label,parameter_category,multiplier,coverage_max,recommended_alpha,achieved_protection_pct_change,response_objective_pct_change,covered_cell_share_pct_change,mean_response_time_min_pct_change
etosha_placeholder_baseline,0.95,142.126269414406,142.1371530377137,10428.787594311583,11950.0,0.0,94,0,93,2,0,0,0,56.436350819959515,143.48373185023212,0.282025819265144,28.952630885630853,53,ok,max_drones,drone cap,resources,0.5,149.6065993835853,0.95,-3.0610340394333826,20.739369515258094,-3.728813559322039,11.580339258904724
etosha_placeholder_baseline,0.95,142.126269414406,142.1371530377137,10428.787594311583,11950.0,0.0,94,0,93,2,0,0,0,56.436350819959515,143.48373185023212,0.282025819265144,28.952630885630853,53,ok,max_drones,drone cap,resources,0.75,149.6065993835853,0.95,-3.0610340394333826,20.739369515258094,-3.728813559322039,11.580339258904724
etosha_placeholder_baseline,0.95,145.21547916952565,146.6254066455929,8637.437512040076,12000.0,0.0,89,0,86,3,0,0,0,50.57911742767495,128.592475819992,0.2929493545183714,23.422666315277397,48,ok,max_drones,drone cap,resources,1.0,152.85839912581648,0.95,0.0,0.0,0.0,0.0
etosha_placeholder_baseline,0.95,148.23169015883974,148.26794997222277,6885.997724560901,11975.0,0.0,83,0,79,4,0,0,0,45.55938900045185,117.25439911683351,0.2929493545183714,18.694173956907722,43,ok,max_drones,drone cap,resources,1.3333333333333333,156.03335806193658,0.95,1.1202310460424099,-20.27730776677426,0.0,-9.924507746504286
etosha_placeholder_baseline,0.95,150.1268396014019,150.13677116182816,4926.806343810635,12000.0,0.0,72,0,66,6,0,0,0,40.967406930149984,103.85776367462068,0.2800397219463754,14.960102252036593,33,ok,max_drones,drone cap,resources,2.0,158.02825221200203,0.95,2.394785867310535,-42.95986122107444,-4.406779661016944,-19.00331794296159
etosha_placeholder_baseline,0.95,145.21547916952565,145.2391991809959,8927.362210497457,12000.0,0.0,89,0,88,3,0,0,0,49.51300408278467,126.07803083272007,0.28500496524329694,22.006121799005573,48,ok,max_cameras,camera cap,resources,0.5,152.85839912581648,0.95,-0.9454074135648153,3.3566054521753967,-2.7118644067796547,-2.1078132618956036
etosha_placeholder_baseline,0.95,145.21547916952565,145.27007803258942,8637.437512040076,12000.0,0.0,89,0,86,3,0,0,0,50.57911742767495,128.592475819992,0.2810327706057597,23.422666315277397,48,ok,max_cameras,camera cap,resources,0.75,152.85839912581648,0.95,-0.9243477266388308,0.0,-4.067796610169482,0.0
etosha_placeholder_baseline,0.95,145.21547916952565,146.6254066455929,8637.437512040076,12000.0,0.0,89,0,86,3,0,0,0,50.57911742767495,128.592475819992,0.2929493545183714,23.422666315277397,48,ok,max_cameras,camera cap,resources,1.0,152.85839912581648,0.95,0.0,0.0,0.0,0.0
etosha_placeholder_baseline,0.95,145.21547916952565,145.24331009517644,8637.437512040076,12000.0,0.0,89,0,86,3,0,0,0,50.57911742767495,128.592475819992,0.28500496524329694,23.422666315277397,48,ok,max_cameras,camera cap,resources,1.3333333333333333,152.85839912581648,0.95,-0.9426037288047342,0.0,-2.7118644067796547,0.0
etosha_placeholder_baseline,0.95,145.21547916952565,145.22103636863062,8637.437512040076,12000.0,0.0,89,0,86,3,0,0,0,50.57911742767495,128.592475819992,0.26911618669314796,23.422666315277397,48,ok,max_cameras,camera cap,resources,2.0,152.85839912581648,0.95,-0.9577946340205383,0.0,-8.135593220338983,0.0
